ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688802.SH,20251217,700.0,895.0,650.0,829.9,104.66,725.24,692.9486,153670.27,11259382.525
688802.SH,20251218,763.0,829.0,756.0,787.04,829.9,-42.86,-5.1645,68398.25,5408191.37
688802.SH,20251219,800.0,808.11,710.0,715.6,787.04,-71.44,-9.077,61475.31,4521831.367
688802.SH,20251222,702.0,725.0,672.5,703.35,715.6,-12.25,-1.7119,36844.77,2578449.078
688802.SH,20251223,693.36,693.36,666.66,667.6,703.35,-35.75,-5.0828,45454.7,3068337.644
688802.SH,20251224,660.3,666.5,617.98,620.66,667.6,-46.94,-7.0312,46319.62,2920529.698
688802.SH,20251225,620.18,665.72,605.0,642.94,620.66,22.28,3.5897,43279.57,2787975.636
688802.SH,20251226,628.01,635.99,612.05,619.7,642.94,-23.24,-3.6146,27843.17,1731004.485
688802.SH,20251229,610.0,629.9,609.6,615.1,619.7,-4.6,-0.7423,21035.91,1305339.611
688802.SH,20251230,610.0,622.07,605.11,608.92,615.1,-6.18,-1.0047,21127.03,1293429.681
688802.SH,20251231,610.07,610.07,580.0,580.1,608.92,-28.82,-4.733,27541.16,1613850.964
688802.SH,20260105,579.49,605.79,566.2,605.78,580.1,25.68,4.4268,30968.51,1827106.137
688802.SH,20260106,600.0,614.66,592.0,594.21,605.78,-11.57,-1.9099,24390.41,1462034.614
688802.SH,20260107,590.01,614.0,590.01,603.96,594.21,9.75,1.6408,21357.92,1289563.681
688802.SH,20260108,601.12,655.0,600.01,642.55,603.96,38.59,6.3895,39323.42,2492879.109
688802.SH,20260109,628.0,636.0,617.78,634.81,642.55,-7.74,-1.2046,23581.43,1477363.643
688802.SH,20260112,631.88,632.89,615.5,621.73,634.81,-13.08,-2.0605,20888.77,1299044.306
688802.SH,20260113,623.8,644.88,612.76,621.0,621.73,-0.73,-0.1174,22160.65,1389855.475
688802.SH,20260114,619.93,619.93,610.0,613.6,621.0,-7.4,-1.1916,18223.19,1119663.331
688802.SH,20260115,610.0,613.07,588.0,597.33,613.6,-16.27,-2.6516,17442.08,1041288.623
688802.SH,20260116,597.4,605.88,597.4,601.8,597.33,4.47,0.7483,12235.5,736809.981
688802.SH,20260119,602.1,603.99,595.01,595.66,601.8,-6.14,-1.0203,8877.74,530317.57
688802.SH,20260120,596.02,599.5,587.35,590.0,595.66,-5.66,-0.9502,9914.99,587939.452
688802.SH,20260121,585.37,607.17,584.0,601.3,590.0,11.3,1.9153,12919.19,775444.48
688802.SH,20260122,601.35,612.25,595.0,597.64,601.3,-3.66,-0.6087,10558.29,634047.47
688802.SH,20260123,594.68,594.68,586.58,587.43,597.64,-10.21,-1.7084,11426.94,672563.306
688802.SH,20260126,589.9,589.9,570.05,571.2,587.43,-16.23,-2.7629,10504.85,604434.13
688802.SH,20260127,570.89,574.77,558.58,572.18,571.2,0.98,0.1716,10823.91,614272.741
688802.SH,20260128,576.0,583.17,573.0,577.2,572.18,5.02,0.8773,10769.44,622914.83
688802.SH,20260129,573.0,577.98,562.01,564.0,577.2,-13.2,-2.2869,9202.03,522923.041
688802.SH,20260130,562.44,569.95,557.05,558.08,564.0,-5.92,-1.0496,9120.35,512052.196
688802.SH,20260202,551.08,557.76,530.0,530.1,558.08,-27.98,-5.0136,13537.3,728500.776
688802.SH,20260203,532.01,535.48,493.81,513.78,530.1,-16.32,-3.0787,17314.36,885373.849
688802.SH,20260204,505.01,508.05,497.02,505.0,513.78,-8.78,-1.7089,9430.12,473738.671
688802.SH,20260205,500.0,503.0,490.5,491.96,505.0,-13.04,-2.5822,9688.14,479432.817
688802.SH,20260206,485.0,499.99,479.01,493.88,491.96,1.92,0.3903,11352.92,555228.865
688802.SH,20260209,501.9,516.98,497.19,512.62,493.88,18.74,3.7944,12051.39,614957.85
688802.SH,20260210,512.62,527.95,510.48,514.35,512.62,1.73,0.3375,11453.48,595757.275
688802.SH,20260211,512.0,514.01,505.22,508.5,514.35,-5.85,-1.1374,6612.69,336758.952
688802.SH,20260212,509.99,524.5,505.46,520.08,508.5,11.58,2.2773,9713.07,500066.938
688802.SH,20260213,517.68,526.93,511.07,512.99,520.08,-7.09,-1.3633,7451.8,385731.901
688802.SH,20260224,520.0,521.54,511.11,516.82,512.99,3.83,0.7466,8579.85,443733.143
688802.SH,20260225,515.15,525.86,515.15,519.98,516.82,3.16,0.6114,7548.55,392256.684
688802.SH,20260226,519.98,538.69,518.11,533.55,519.98,13.57,2.6097,16798.73,888801.805
688802.SH,20260227,528.0,545.5,515.89,535.62,533.55,2.07,0.388,15597.97,824922.227
688802.SH,20260302,521.01,532.87,519.14,524.98,535.62,-10.64,-1.9865,11307.28,593724.061
688802.SH,20260303,525.35,528.88,498.88,499.14,524.98,-25.84,-4.9221,11844.48,603879.283
688802.SH,20260304,494.23,518.99,494.23,508.5,499.14,9.36,1.8752,9247.19,471586.375
688802.SH,20260305,520.11,544.19,520.02,537.28,508.5,28.78,5.6598,20938.29,1121618.176
